|bandpass_frequency|       bandpass_weights|
|            double|                 double|
|               GHz|                       |
|              null|                   null|
              180.0   7.137375835883402e-32 
 180.01532076245132    8.45964505792715e-32 
 180.03064152490265   1.002452513147173e-31 
 180.04596228735397  1.1876092411220673e-31 
  180.0612830498053   1.406635002234601e-31 
 180.07660381225662  1.6656638660617552e-31 
 180.09192457470795  1.9719295814186555e-31 
 180.10724533715924  2.3339606671979356e-31 
 180.12256609961057   2.761809743386326e-31 
  180.1378868620619  3.2673230455771073e-31 
 180.15320762451321    3.86445708626508e-31 
 180.16852838696454   4.569650619119937e-31 
 180.18384914941586   5.402261457359838e-31 
  180.1991699118672   6.385079328012897e-31 
  180.2144906743185  7.5449278496548805e-31 
 180.22981143676984   8.913370947987173e-31 
 180.24513219922116  1.0527541624776245e-30 
 180.26045296167248  1.2431114033385233e-30 
  180.2757737241238  1.4675443360759378e-30 
  180.2910944865751  1.7320902155477203e-30 
 180.30641524902643  2.0438446572367683e-30 
 180.32173601147775  2.4111451639989292e-30 
 180.33705677392908   2.843786123083935e-30 
  180.3523775363804   3.353270607894864e-30 
 180.36769829883173   3.953105212507765e-30 
 180.38301906128305  4.6591451883589246e-30 
 180.39833982373437   5.489998365902061e-30 
  180.4136605861857   6.467497757475862e-30 
 180.42898134863702   7.617254383670919e-30 
 180.44430211108835   8.969303781945123e-30 
 180.45962287353967  1.0558861886942967e-29 
 180.47494363599097  1.2427208567810472e-29 
  180.4902643984423  1.4622720127788845e-29 
 180.50558516089362  1.7202075583770723e-29 
 180.52090592334494  2.0231665627926833e-29 
 180.53622668579627    2.37892379213618e-29 
  180.5515474482476  2.7965817887925067e-29 
  180.5668682106989  3.2867950587788846e-29 
 180.58218897315024   3.862031669804079e-29 
 180.59750973560156  4.5368784276592995e-29 
  180.6128304980529   5.328396802734691e-29 
  180.6281512605042   6.256537944011289e-29 
 180.64347202295554   7.344626470411661e-29 
 180.65879278540686   8.619924298499292e-29 
 180.67411354785816  1.0114287585421186e-28 
 180.68943431030948    1.18649319762315e-28 
  180.7047550727608  1.3915323790938948e-28 
 180.72007583521213  1.6316217621784642e-28 
 180.73539659766345   1.912686409599608e-28 
 180.75071736011478   2.241641536428252e-28 
  180.7660381225661  2.6265560281695443e-28 
 180.78135888501743   3.076842634892219e-28 
 180.79667964746875   3.603479138686218e-28 
 180.81200040992007   4.219265475002605e-28 
  180.8273211723714   4.939122578888564e-28 
 180.84264193482272   5.780439641342181e-28 
 180.85796269727402   6.763477518092459e-28 
 180.87328345972534  7.9118372550811805e-28 
 180.88860422217667   9.253004107073869e-28 
   180.903924984628  1.0818979057512252e-27 
 180.91924574707932  1.2647011732319029e-27 
 180.93456650953064  1.4780450776778344e-27 
 180.94988727198196   1.726973027722968e-27 
  180.9652080344333  2.0173513709357035e-27 
  180.9805287968846   2.356002024121731e-27 
 180.99584955933594  2.7508562079528796e-27 
 181.01117032178726  3.2111325999912973e-27 
  181.0264910842386   3.747543733519233e-27 
 181.04181184668988   4.372535061317972e-27 
  181.0571326091412   5.100561785466477e-27 
 181.07245337159253  5.9484093398666204e-27 
 181.08777413404385   6.935564317167175e-27 
